,Principal Component 1,Principal Component 2
279,-242.57660537940367,-60.021182515133866
280,-248.0836500599323,-58.31579241507325
281,-170.11008419355014,-49.0576936127951
282,-238.5202883566758,-60.11741835364128
283,-144.09927304184305,5.468164749870761
284,165.38636561620652,-0.577488788437416
285,106.47399246585542,157.68139785146332
286,-208.80799198131052,-58.737983316859186
287,208.1099586741322,144.62253656605688
288,-223.97700815091778,-56.51133470286643
289,69.28930982272628,-53.869552743231026
290,-239.88975793844574,-60.184350015941796
291,-243.78299842268868,-40.461480097476056
292,-240.4790156571314,-35.22347285140507
293,-155.15579810423392,-37.82776414092344
294,292.03357171894277,-4.885358866305497
295,132.98693917337212,4.8165067792930785
296,-238.21900223804286,-59.727592059341276
297,-190.2984421655375,-57.63485571506126
298,855.8099048599518,119.19565800489312
299,-150.40650024596792,-37.176589298455056
300,-238.09815825365033,-60.42734308498146
301,-66.95379046347666,43.83816058434938
302,-92.92470611466685,-18.94098016719808
303,-210.0140466052506,-54.99885766029278
304,-133.50212327201763,-42.99212885618289
305,1743.3618039621385,339.89460742598317
306,122.18406308372218,-26.650255062416385
307,-97.56589370148481,-47.35095224472032
308,-163.26288273912954,-34.21147865744121
309,-147.246683392177,-40.56934498152754
310,-168.12540584245747,-46.402334139185385
311,-109.91063099618472,-6.961328922137815
312,-18.964823208236037,-19.50496669461848
313,508.84701931177256,2.913135858492386
314,-208.50983481202212,-60.818356040605195
315,-230.8196739553534,-61.02224828056009
316,-194.5177849538511,-59.056609660459365
317,-221.36930460345545,-58.527816812836136
318,-188.3187105834009,-58.23728426297502
319,-4.562647900723013,-46.162609427354774
320,-27.533571604129076,-38.186839254229135
321,-234.73699137374808,-60.45323239720707
322,746.4957647643763,140.28230304271736
323,465.4203793135021,82.63051581958842
324,-211.89307144555826,-60.82826652198105
325,28.496671174026662,-1.9377314271047898
326,47.287179182082326,-20.639160425400625
327,-18.519073751617313,-24.822126698570706
328,-243.5357306404193,-59.74227726270097
329,64.1459596856247,37.208394705201044
330,-102.29025019846148,-48.23854322428656
331,-202.09260339597267,-34.88594369464871
332,9.294231133055623,-23.68878743817279
333,-171.2931983759875,-45.60184969604388
334,-205.48702206878818,-57.40789361516377
335,-213.00046537397927,-49.81250228702855
336,1206.185373563313,-81.48050509779331
337,-162.57919274275517,-53.664717388650054
338,-237.63207509377722,-59.724649882523686
339,-232.74223478206542,-60.09997108790015
340,-239.58792250486852,-60.176789614963106
341,-180.63746177261353,-35.704982154132686
342,-243.76885518628518,-57.91036467773975
343,-189.31784060845507,-47.202049868236
344,-241.49409864295885,-60.89534339516601
345,5.059202640015846,-53.02914751948984
346,-42.49318828756749,-24.278578163345525
347,-187.4262174097351,-53.37351856871561
348,-200.1353987629911,-60.12812084902966
349,-244.13006653572054,-60.35789631523094
350,-244.58206123909392,-57.975040101551414
351,-94.14785141636288,-43.61157021583447
352,-246.5022628085604,-55.196926545241965
353,389.3496864761284,-29.7489046305194
354,-65.6113280048033,-8.481206844804898
355,-243.65955781176984,-59.613943918002484
356,511.757636038901,182.08236337203232
357,-201.47019941657226,-55.52903157904506
358,-142.45831092200797,-52.047546047957
359,232.92994221306077,-74.283595714702
360,-155.81497942185806,-52.87839681984581
361,-200.17304728222817,-51.69106708918563
362,397.54991280167957,61.33825215794804
363,-201.18574698654493,-53.34028191431292
364,-241.79185753437082,-49.6049793147656
365,-249.23761610087132,-57.45470627203536
366,-246.0367816840682,-52.06211977915479
367,-220.2615234803965,-58.51608519324094
368,-215.18340561792158,-49.99809128030636
369,-10.045060198296827,39.03223412587831
370,-245.90502139315439,-52.61054487941176
371,-220.13016602646,-51.615140580190285
372,-51.26674812167692,-21.062973165678113
373,-191.39502371213356,-48.286188382294824
374,-173.502970716704,-27.554937067331476
375,-162.12857729897055,-33.95595566066403
376,-243.4861264478239,-59.46842526750465
377,-240.39774278457358,-59.95535037315115
378,198.63663615220386,82.10649118293341
379,-90.69197073750273,-13.411614095920804
380,-234.55928279825196,-58.43243340478303
381,-246.15539074343678,-56.59953137553128
382,361.15739911783186,445.2480043479685
383,-155.59479320312224,-10.262323474390476
384,-249.14637628968015,-58.14866274160765
385,-73.09945489260014,-6.7958166949339525
386,-71.66673979055979,-23.189935961183412
387,-81.810261427288,-11.39599210698126
388,-197.84837644711894,-59.821209261265935
389,-64.18326490208442,-53.34696602248175
390,-224.7014093109942,-49.520339036579365
391,-222.8068569198111,-57.96900480902701
392,-65.5494029784975,-51.665629901957196
393,-246.76256804361074,-58.28309735650342
394,-221.65218839756403,-49.50354107613947
395,217.27013524249367,4.8764776719319265
